ID,Pension personal,Pension corporativa,Fondo inversión,Fondo inversión (extra),Acciones,Activos renta fija,Criptomonedas,Criptomonedas (extra),Hipoteca_actual,Hipoteca_adquirida_2y,Prestamo_personal_actual,Prestamo_personal_adquirido_2y,Tarjeta_credito_adquirida_2y,Descubierto_autorizado,Tarjeta_credito_para_efectivo,Hipoteca_flexible,Prestamo_contra_fondo_pension,Microcredito,Payday_loan,Empeño_en_casa_de_empeño,Ayuda_familia_comunidad,Prestamo_familia_comunidad
169,1,0,0,0,0,0,0,0,1,1,1,1,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
170,0,0,0,0,0,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
171,0,0,0,0,0,0,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
172,0,-98,-98,-98,-98,0,-98,-98,0,0,1,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
173,1,0,0,0,0,1,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
174,0,1,0,0,0,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
175,-98,0,0,0,0,-98,0,0,0,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
176,1,0,1,0,0,1,-98,-98,1,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
177,-98,0,0,0,-98,0,0,0,0,0,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
178,0,0,1,1,0,0,0,0,0,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
179,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
180,0,0,0,0,0,0,-98,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
181,0,0,0,0,0,-98,-98,-98,1,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
182,0,-98,-98,-98,0,-98,0,0,1,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
183,0,0,0,0,0,1,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
184,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
185,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
186,-97,-97,-97,-97,-97,-97,0,0,-97,-97,-97,-97,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
187,0,0,0,0,-98,0,1,1,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
188,0,0,0,0,0,0,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
189,0,1,0,0,-98,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
190,0,0,0,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
191,0,0,1,0,0,1,0,0,1,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
193,1,1,1,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
194,0,0,0,0,0,0,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
195,0,0,0,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
196,0,0,1,1,0,0,0,1,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
197,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
198,0,0,0,0,0,-98,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
199,1,1,1,1,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
200,0,0,0,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
201,1,1,0,0,0,-98,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
202,0,0,0,0,-98,-98,-98,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
203,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
204,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
206,0,0,0,0,-98,-98,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
207,0,0,1,1,0,-98,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
208,1,1,0,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
209,0,0,0,0,0,-98,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99
210,0,-98,0,0,-98,-98,0,0,0,0,-98,-98,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,-98,-98,-98,1,0,0,0,0,0,0,0,0,0,0,0,1,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,1,1,0,0,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
214,0,0,-98,-98,-98,-98,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
215,1,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
216,0,0,0,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
217,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
218,1,0,1,1,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
219,0,-98,-98,-98,-98,-98,-98,-98,1,0,-98,-98,-98,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,-98,0,0,1,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
221,0,0,0,0,0,0,0,0,1,1,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
222,0,0,0,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
223,0,-98,-98,-98,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
224,0,0,0,0,-98,-98,-98,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
225,0,0,0,0,0,-98,0,0,0,0,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
226,1,0,0,0,0,1,0,0,1,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
